"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"ADAM10" 17 34 33 48 65 65 28 14 26 15 21 19 20 18 24 25 27 33
"ADAM11" 1 0 6 6 4 1 1 0 1 1 2 1 1 0 1 0 1 4
"ADAM12" 6 12 12 4 8 2 1 4 6 1 5 8 5 13 7 3 7 5
"ADAM15" 0 1 0 3 2 5 1 1 2 1 3 4 2 0 4 0 1 1
"ADAM17" 38 33 31 23 22 35 35 20 26 21 35 35 26 25 28 19 28 28
"ADAM19" 0 0 5 3 1 1 0 0 1 0 0 0 0 0 0 0 0 0
"ADAM20" 1 0 2 8 5 6 0 0 0 0 0 0 0 0 0 0 1 1
"ADAM20L" 9 19 21 7 5 6 7 7 10 3 10 4 7 8 22 3 7 5
"ADAM22" 0 1 0 3 5 3 1 1 0 1 0 0 2 0 2 0 1 0
"ADAM23" 7 10 12 6 10 6 22 41 42 20 28 25 8 9 16 7 6 4
"ADAM32" 0 0 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"ADAM32L1" 0 0 1 1 1 0 2 1 1 0 0 0 0 1 1 0 0 0
"ADAM32L2" 0 1 1 2 0 1 2 0 0 0 0 2 1 0 3 0 0 0
"ADAM33" 1 3 4 6 9 5 3 0 1 0 2 1 3 6 5 4 8 3
"ADAM8" 8 15 24 26 46 52 4 3 0 3 5 4 4 2 5 7 6 6
"ADAM9" 0 0 6 0 1 0 7 0 1 1 2 0 1 1 0 1 0 2
"ADAM9L" 156 241 182 90 119 91 160 116 154 111 125 163 70 76 101 74 65 63
"ADAMDEC1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ADAMTS1" 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0
"ADAMTS10" 6 13 11 20 15 17 7 6 7 5 8 8 4 7 4 5 5 7
"ADAMTS12" 68 53 43 140 340 306 1 3 2 3 4 3 33 32 30 34 37 77
"ADAMTS13" 175 188 178 264 251 228 167 99 112 110 139 130 153 164 179 325 297 361
"ADAMTS14" 2 1 6 7 5 7 2 3 2 1 5 1 2 6 0 3 5 3
"ADAMTS15" 5 4 10 20 17 11 5 3 6 4 7 10 3 5 15 1 5 4
