"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"ICMT" 4 2 2 3 7 3 1 2 2 3 3 5 3 1 3 3 6 7
"ICOS" 0 1 0 48 39 39 0 0 0 0 0 0 0 0 0 1 1 1
"ICOSLG" 1 1 1 2 2 4 2 1 2 2 2 0 2 0 3 1 5 2
"ID1" 1 3 6 3 6 6 8 2 3 3 5 9 6 1 6 3 8 1
"ID2" 12 3 7 13 14 10 19 6 20 11 13 20 12 14 11 6 19 5
"ID3" 0 7 2 0 0 2 6 1 5 1 0 0 1 2 1 0 1 0
"ID4" 3 1 3 18 59 39 6 0 6 8 7 7 3 6 6 14 22 55
"IDE" 63 109 71 77 96 77 93 90 61 57 73 68 48 57 69 41 48 37
"IDH1" 22 20 16 3 4 7 6 8 11 4 15 3 5 13 6 6 4 7
"IDH2" 19 19 26 19 16 13 17 13 13 18 25 22 20 5 14 17 12 14
"IDH3A" 15 28 19 21 18 18 13 15 30 18 22 27 10 7 15 14 12 19
"IDH3B" 7 19 17 102 80 77 12 14 12 6 10 19 8 6 14 35 27 38
"IDI2" 30 22 44 26 24 22 9 15 14 16 12 11 13 19 27 27 22 45
"IDNK" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IDO2" 0 2 1 0 2 1 1 0 0 1 0 0 1 2 0 0 0 1
"IDS" 3 5 9 2 4 2 1 4 3 5 7 2 3 2 6 2 3 5
"IDUA" 14 11 5 12 15 9 10 6 9 4 11 10 3 7 4 3 6 5
"IER3" 7 10 9 42 26 30 3 2 5 7 3 2 10 8 12 13 16 14
"IER3IP1" 17 34 11 5 20 11 16 11 20 15 21 17 21 26 31 18 24 11
"IER5" 11 13 21 49 67 82 17 15 11 10 15 13 17 15 24 20 22 35
"IER5L" 21 28 33 38 34 36 24 18 34 24 48 33 23 19 26 26 48 57
"IFFO1" 5 10 11 48 37 45 0 7 5 6 4 9 4 4 4 11 3 11
"IFFO2" 4 4 8 7 5 5 1 4 2 5 2 8 2 10 8 16 11 10
"IFI27L2" 2 3 0 30 33 50 2 1 0 5 3 1 4 0 1 2 0 2
"IFI30" 6 5 3 100 76 67 0 2 5 2 3 2 2 2 2 5 8 8
"IFI35" 1 1 0 9 8 5 0 0 1 0 0 4 1 2 0 3 1 2
"IFI6" 0 0 0 91 94 68 0 1 1 0 6 2 0 1 0 2 1 1
"IFIH1" 0 2 5 63 94 64 1 2 0 0 0 0 1 5 6 2 2 4
"IFIT5" 2 3 3 768 1135 1109 0 1 0 2 1 2 0 1 0 3 2 6
"IFITM10" 0 0 0 18 21 17 0 0 0 0 0 0 1 0 0 2 2 4
"IFITM5" 5 6 6 8 12 15 10 5 2 10 8 11 0 1 2 0 1 0
"IFNA3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IFNAR1" 2 2 0 12 15 11 1 2 3 2 2 2 5 0 1 3 3 2
"IFNAR2" 31 44 28 41 64 65 23 30 40 17 19 25 43 35 51 22 39 37
"IFNG" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IFNGR1" 2 1 5 2 3 5 2 2 1 4 1 2 1 1 1 1 3 3
"IFNGR2" 7 20 11 18 26 16 13 12 14 20 25 17 18 21 13 13 10 6
"IFNKL1" 0 0 0 9 12 4 0 0 0 0 0 1 0 0 0 0 0 0
"IFNL3A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IFNLR1" 0 0 2 2 3 1 1 0 1 0 0 1 2 0 4 3 3 0
"IFNW1" 4 5 1 2 4 1 2 7 5 4 6 3 2 3 7 1 2 2
"IFRD1" 26 20 37 22 24 28 13 9 24 16 16 14 35 47 39 16 30 34
"IFT122" 0 1 4 2 6 2 1 1 2 0 0 2 2 2 0 1 1 1
"IFT140" 117 160 120 96 120 119 85 69 80 84 86 88 126 101 147 151 147 120
"IFT172" 2 1 4 14 12 20 1 1 3 5 2 0 2 1 4 3 5 3
"IFT20" 38 49 32 21 9 16 76 84 57 72 60 82 30 52 47 35 38 31
"IFT22" 8 11 8 7 9 5 6 12 8 3 6 7 7 11 12 0 2 3
"IFT27" 0 0 1 5 4 8 1 0 0 0 1 0 1 0 1 0 1 1
"IFT43" 21 12 6 7 16 11 12 7 7 7 22 45 13 17 13 11 22 82
"IFT46" 3 1 2 5 10 1 4 1 4 1 0 5 1 1 0 0 2 3
"IFT52" 1 2 4 4 5 3 3 3 6 4 1 3 8 1 3 8 2 2
"IFT57" 2004 3179 2891 686 764 695 1426 1558 1312 1346 1438 1514 2432 2606 2582 1445 1428 1795
"IFT74" 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"IFT80" 3 7 3 5 9 7 3 2 1 6 0 1 3 4 2 6 4 7
"IFT81" 0 2 2 17 6 2 6 19 4 5 1 8 1 5 6 1 0 3
"IFT88" 1 1 1 0 1 4 1 0 1 2 1 1 0 0 2 1 1 0
"IGBP1" 3 2 3 3 2 2 1 0 3 1 0 1 2 1 4 2 2 2
"IGBP1L" 3 10 9 10 11 11 7 6 10 3 8 8 4 3 4 4 5 5
"IGDCC3" 12 7 7 54 58 36 4 3 6 7 5 5 5 6 6 7 20 14
"IGDCC4" 0 0 2 3 6 4 0 0 0 0 0 0 0 0 1 0 1 0
"IGF1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGF1R" 3 4 15 5 6 3 2 1 3 3 5 3 8 11 4 6 8 11
"IGF2" 1869 2649 2305 724 879 872 1025 753 1030 858 1067 1106 1250 1368 1404 1000 1055 1109
"IGF2BP1" 103 140 132 120 135 110 19 11 22 23 19 18 48 42 72 75 98 105
"IGF2BP2" 5 2 2 3 4 4 4 4 1 1 2 2 0 4 5 2 0 1
"IGF2BP3" 24 64 45 19 37 25 55 66 63 54 52 65 31 39 39 54 46 44
"IGF2R" 2 2 2 4 1 1 7 2 3 1 2 3 3 2 2 2 3 3
"IGFALS" 1 4 8 32 28 33 5 4 5 4 4 0 3 2 3 9 8 12
"IGFBP1" 2 2 1 3 2 1 5 8 5 0 4 1 7 0 2 0 0 4
"IGFBP2" 12 15 30 20 34 25 5 2 15 8 11 9 1 6 2 3 0 2
"IGFBP3" 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"IGFBP4" 94 112 128 28 42 41 195 91 183 89 176 198 62 62 73 75 58 101
"IGFBP5" 79 94 119 196 183 256 32 10 17 17 29 30 16 11 17 12 10 15
"IGFBP7" 12 24 22 19 3 12 6 11 6 6 7 11 4 10 14 12 10 10
"IGFN1" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGHMBP2" 1 1 5 4 9 4 4 3 1 1 6 1 4 6 4 2 4 5
"IGLL1" 0 0 1 3 4 1 0 0 0 0 0 0 0 0 0 0 0 0
"IGSF1" 0 0 2 10 9 8 0 0 0 0 0 1 1 1 0 2 2 2
"IGSF10" 7 9 15 6 11 16 14 13 18 13 23 23 14 6 9 6 8 8
"IGSF11" 0 3 3 5 3 0 0 2 0 0 0 0 0 0 0 0 0 0
"IGSF21" 0 2 3 3 0 2 0 4 0 2 1 2 0 0 1 0 2 0
"IGSF3" 5 7 4 3 0 0 1 1 0 2 0 2 0 0 6 0 1 0
"IGSF5" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"IGSF6" 5 20 9 5 8 3 31 55 31 30 32 26 0 1 7 2 4 3
"IGSF9" 43 62 59 61 66 60 23 46 43 38 39 36 23 24 32 26 25 24
"IGSF9B" 3 1 3 2 0 1 0 0 0 0 0 0 0 0 0 0 3 0
"IHH" 0 0 2 2 1 4 0 0 0 0 0 0 0 0 0 0 0 0
"IK" 1 1 3 5 4 4 11 5 4 5 3 4 3 6 5 0 1 4
"IKBIP" 3 7 3 13 16 15 10 18 15 14 20 13 8 7 12 2 8 4
"IKBKAP" 1 2 4 2 1 3 2 1 1 1 2 2 0 3 1 2 3 2
"IKBKB" 4 4 7 5 9 11 9 5 10 8 4 3 1 7 4 5 1 4
"IKBKE" 0 0 1 10 3 7 0 0 0 0 0 0 0 0 0 0 1 1
"IKBKG" 28 23 13 34 29 29 33 11 34 17 29 34 31 24 19 17 30 33
"IKZF1" 1 0 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0
"IKZF2" 2 5 6 15 15 30 2 4 5 3 4 3 0 0 10 2 2 6
"IKZF3" 0 0 1 6 0 5 0 1 0 0 0 0 0 2 3 2 2 0
"IKZF4" 0 4 1 6 1 2 2 0 2 2 0 1 0 0 0 1 3 4
"IKZF5" 8 21 13 14 13 23 8 11 15 11 17 20 9 11 15 7 10 2
"IL10" 0 0 3 5 8 6 0 0 2 0 0 0 1 0 0 0 0 0
"IL10RA" 184 289 225 178 175 166 269 263 312 250 274 299 199 250 396 200 203 290
"IL10RB" 6 1 3 19 20 29 1 0 2 0 1 1 2 5 3 1 3 6
"IL11RA" 0 0 2 1 6 3 0 0 0 0 0 0 0 0 0 0 0 0
"IL12A" 2 10 5 3 2 2 7 8 10 6 11 3 2 7 3 4 1 8
"IL12B" 0 0 2 2 4 4 0 1 0 0 0 0 1 1 4 0 2 2
"IL12RB1" 3 0 2 33 41 19 0 0 0 1 4 2 1 2 2 6 2 5
"IL12RB2" 28 51 43 90 105 103 33 29 39 38 41 33 37 42 63 44 45 42
"IL13" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL13RA1" 4 7 8 2 0 0 3 6 1 2 6 8 5 4 6 0 2 1
"IL13RA2" 0 0 3 0 1 2 0 0 0 0 0 0 2 0 0 0 1 0
"IL15" 0 0 2 2 2 2 2 1 0 1 1 0 3 2 1 0 3 2
"IL15RA" 16 37 24 18 19 17 21 26 22 25 33 37 16 10 27 23 21 24
"IL16" 92 187 122 224 196 211 105 105 122 76 99 125 126 91 197 173 154 223
"IL17A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL17C" 7 9 10 4 9 3 4 1 14 3 8 4 4 6 2 1 1 2
"IL17D" 0 1 2 1 3 0 0 0 0 0 0 0 0 1 0 0 0 1
"IL17F" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"IL17RA" 90 108 73 2909 3659 4053 25 11 34 19 22 29 41 55 52 85 86 101
"IL17RC" 3 1 0 7 6 5 1 1 1 0 0 0 0 0 0 2 0 0
"IL17RD" 0 0 2 0 2 2 0 0 0 0 0 0 1 0 2 1 0 1
"IL17RE" 0 0 4 9 8 4 1 1 3 1 1 0 0 1 2 4 4 2
"IL17REL" 10 7 5 49 60 32 6 6 2 3 2 6 6 12 11 18 14 10
"IL18" 55 88 96 53 62 40 109 103 111 122 91 123 91 67 74 73 71 83
"IL18BP" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"IL18R1" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL18RAP" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL1B" 21 43 32 17 15 16 27 17 27 13 22 14 20 27 29 10 14 24
"IL1R1" 0 0 0 0 0 1 3 1 0 0 0 0 1 0 0 0 0 0
"IL1R2" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"IL1RAP" 12 16 24 11 9 11 5 3 9 6 3 10 14 7 8 18 16 14
"IL1RAPL1" 0 0 2 1 0 1 0 0 0 0 0 0 2 4 4 1 1 2
"IL1RAPL2" 4 6 6 5 1 0 3 5 0 1 0 1 5 2 3 7 0 4
"IL1RL1" 0 0 2 0 2 3 0 0 0 1 0 0 0 0 0 0 0 0
"IL1RL2" 0 1 0 1 0 0 2 2 2 0 0 2 0 0 0 0 0 2
"IL2" 0 0 0 1 3 1 0 1 0 0 1 0 0 0 0 0 0 0
"IL20RA" 0 10 3 9 13 3 1 4 1 1 1 0 3 3 1 3 1 2
"IL20RB" 2 0 2 5 6 7 1 0 0 2 1 2 0 1 0 0 5 5
"IL21" 0 1 1 2 1 1 0 1 0 0 0 0 0 0 0 1 0 0
"IL21R" 1 2 2 1 1 1 0 0 1 0 0 2 3 0 3 1 1 3
"IL22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL22RA1" 7 11 8 2 2 1 14 6 4 7 4 4 5 8 6 1 0 2
"IL22RA2" 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0
"IL23A" 0 3 3 40 37 45 2 1 7 2 5 5 5 4 3 8 5 6
"IL23R" 3 1 6 10 8 11 0 2 7 5 0 3 3 2 1 6 8 4
"IL25" 41 36 34 29 28 21 32 45 50 45 43 59 22 23 41 26 23 26
"IL26" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL2RA" 0 4 2 367 374 347 5 9 5 8 13 13 1 3 3 15 17 7
"IL2RB" 0 0 4 0 0 3 0 0 0 0 0 3 0 1 1 1 1 0
"IL2RG" 0 1 5 1 1 1 1 1 1 1 3 3 2 1 2 1 0 1
"IL3" 0 0 0 2 2 3 1 1 0 0 0 1 0 1 2 0 0 0
"IL31RA" 102 121 91 34 32 42 51 65 64 57 64 61 104 123 151 93 94 77
"IL34" 0 1 2 4 1 1 0 0 1 0 0 0 0 0 1 1 0 0
"IL4" 2 0 0 0 5 1 3 0 0 0 0 1 1 0 1 0 0 0
"IL4I1" 0 0 1 9 6 7 0 0 0 0 0 0 0 0 0 0 0 0
"IL4R" 7 8 7 21 25 21 5 5 3 4 8 7 19 22 30 14 13 18
"IL5" 1 3 0 20 16 21 0 2 0 0 0 3 1 1 5 2 1 3
"IL5RA" 0 0 3 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1
"IL6" 2 3 3 10 20 18 3 8 6 5 7 14 3 0 6 4 11 4
"IL6R" 0 0 0 0 1 1 0 1 2 2 1 0 0 0 0 0 0 0
"IL6ST" 44 54 52 38 51 27 21 30 22 27 27 35 22 37 36 26 23 38
"IL7" 0 1 1 82 343 323 1 0 1 1 4 5 0 0 2 0 5 10
"IL7R" 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"IL8L1" 0 0 1 3 0 2 1 0 0 0 0 1 1 1 2 1 1 0
"IL8L2" 0 0 1 2 2 1 1 0 1 1 1 2 3 2 2 10 18 13
"IL9" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL9R" 1 0 2 3 0 0 0 0 0 0 0 0 0 0 2 0 0 1
"ILDR1" 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ILDR2" 0 0 3 0 2 0 0 2 0 2 1 0 0 0 2 1 0 2
"ILF2" 74 74 59 97 112 94 49 72 61 48 67 59 39 40 47 50 47 64
"ILK" 107 148 137 121 206 163 149 130 151 102 135 133 80 85 116 152 141 184
"ILKAP" 1 5 3 2 6 0 3 0 5 1 0 1 4 0 3 2 1 1
"ILVBL" 1 1 1 6 5 3 1 2 1 1 0 1 1 1 3 0 0 3
"IMMP1L" 539 714 598 262 261 273 398 377 415 344 397 445 390 383 523 363 361 390
"IMMP2L" 1 3 7 3 3 0 1 2 1 0 1 3 3 3 1 1 2 1
"IMMT" 79 123 90 72 96 59 101 81 99 75 110 101 92 93 110 105 86 134
"IMP3" 17 17 10 12 13 12 6 13 14 14 11 8 16 7 11 5 15 16
"IMP4" 1 2 5 5 7 3 2 1 5 1 2 3 0 1 3 1 6 3
"IMPA1" 0 2 4 0 1 0 1 1 1 0 0 1 0 0 0 0 0 2
"IMPA2" 0 1 0 0 2 1 1 0 1 0 0 0 1 2 3 3 0 1
"IMPACT" 0 1 0 1 3 1 1 0 0 1 3 2 0 0 0 0 0 1
"IMPAD1" 4 3 4 2 2 1 1 2 1 2 8 4 10 4 4 3 3 5
"IMPDH2" 21 46 45 28 58 46 26 29 36 24 40 35 29 20 43 15 19 17
"IMPG1" 20 40 33 19 25 15 26 37 23 25 27 21 45 36 31 29 40 31
"IMPG2" 0 6 4 151 157 166 2 1 0 0 2 0 6 4 12 3 11 6
"INA" 0 0 3 0 3 0 2 0 0 0 2 1 0 3 0 0 0 0
"INAFM2" 25 15 17 6 13 13 14 18 11 8 21 13 7 6 2 17 8 16
"INCENP" 4 11 10 6 9 5 8 7 11 13 7 10 6 12 13 3 10 9
"INCENPL" 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"INF2" 22 41 33 21 27 45 29 25 24 28 29 36 49 60 48 22 27 31
"ING1" 3 1 9 21 24 16 2 1 1 2 0 0 0 3 2 6 1 4
"ING2" 12 5 6 3 2 3 4 3 4 5 0 7 4 2 4 2 5 7
"ING3" 1 1 7 0 2 5 0 0 4 3 0 2 2 3 1 2 3 1
"ING4" 1 1 2 3 3 3 0 1 0 0 1 0 0 0 0 0 1 2
"ING5" 0 0 3 0 0 1 0 1 0 0 0 0 3 2 8 2 4 0
"INHA" 0 2 5 8 4 9 1 6 3 2 5 1 2 2 5 6 4 5
"INHBA" 7 16 13 99 121 144 8 11 9 7 6 10 9 9 15 45 28 41
"INHBB" 1 2 1 21 16 24 7 1 2 5 8 8 4 0 2 8 8 14
"INHBE" 0 1 0 2 1 3 1 3 1 0 0 0 0 0 0 0 0 0
"INIP" 4 3 6 5 1 1 1 4 2 2 4 1 0 1 3 3 3 1
"INO80" 9 6 15 25 28 35 5 4 8 3 3 5 3 7 3 10 17 8
"INO80B" 37 30 33 17 27 20 21 11 17 16 16 24 27 27 35 21 31 50
"INO80C" 11 13 14 12 8 9 7 15 7 9 6 4 9 10 11 14 3 9
"INO80D" 4 6 12 13 8 8 4 13 5 2 8 5 10 3 4 3 13 3
"INPP1" 1 3 2 7 13 17 10 3 10 7 8 8 4 2 1 2 7 11
"INPP4A" 1 5 7 5 11 6 2 4 5 2 2 4 5 3 2 12 8 2
"INPP4B" 3 5 8 1 1 2 0 1 1 0 0 0 4 1 2 6 4 7
"INPP5A" 0 3 6 7 4 6 1 1 0 1 2 1 1 4 0 0 3 2
"INPP5B" 24 22 18 16 16 10 12 10 15 9 2 11 11 14 17 14 10 11
"INPP5D" 0 2 4 0 3 2 0 1 2 5 2 0 3 1 4 0 2 2
"INPP5E" 5 16 12 27 21 22 15 14 11 4 12 14 11 8 16 19 17 27
"INPP5F" 716 1118 807 681 807 944 748 447 683 611 722 780 600 602 664 888 954 891
"INPP5J" 1 6 6 7 9 9 8 8 2 4 10 5 1 4 5 4 4 5
"INPP5K" 13 24 10 13 17 13 14 14 10 5 13 9 37 35 54 40 40 40
"INPPL1" 1 1 1 6 4 2 0 2 0 0 0 0 0 0 1 0 0 1
"INS" 8 19 10 4 3 3 4 6 4 4 3 3 3 7 11 3 5 9
"INSC" 0 0 1 1 0 1 0 2 2 0 0 1 0 0 0 0 1 0
"INSIG1" 39 24 32 20 19 15 9 8 7 6 9 13 19 17 8 14 31 30
"INSIG2" 6 5 6 3 5 2 1 0 2 2 0 1 1 1 5 4 4 8
"INSL5" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"INSM1" 2 0 0 0 1 1 1 0 1 2 1 2 0 0 0 0 1 0
"INSM2" 3 2 4 0 0 2 2 2 1 1 2 3 4 2 1 0 0 4
"INSR" 9 11 8 48 53 72 10 5 7 13 19 22 25 17 33 7 8 10
"INSRR" 0 0 3 5 0 3 0 0 0 0 1 0 1 0 0 0 0 0
"INSYN1" 0 0 1 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"INTS1" 6 6 13 4 6 6 7 10 5 6 6 10 7 8 13 8 5 7
"INTS10" 6 11 8 5 13 5 8 18 2 8 9 16 2 7 12 9 8 8
"INTS11" 32 21 29 15 21 20 27 30 31 24 26 30 27 39 40 26 22 29
"INTS12" 0 2 1 3 2 1 0 0 0 0 3 0 1 1 0 1 1 3
"INTS13" 10 10 14 22 22 21 19 19 20 11 13 18 27 18 16 19 20 19
"INTS2" 3 4 6 5 3 2 0 0 5 4 8 5 1 5 1 0 2 4
"INTS3" 9 10 14 4 15 9 8 5 9 12 14 11 5 12 8 4 1 7
"INTS4" 22 30 23 24 21 12 15 23 22 26 12 28 14 11 27 4 7 19
"INTS5" 5 7 12 7 6 7 5 6 8 1 6 6 5 4 2 3 7 6
"INTS6" 1 2 6 6 8 10 2 3 1 2 6 2 4 2 3 2 2 9
"INTS6L" 72 95 90 69 92 80 32 53 53 59 37 50 52 47 87 65 67 83
"INTS7" 0 2 0 0 5 1 1 0 1 1 1 1 0 1 1 0 1 1
"INTS8" 27 33 18 20 33 44 21 26 32 14 16 25 28 14 17 14 20 15
"INTS9" 1 5 9 1 2 3 5 6 1 5 1 1 4 2 6 4 4 1
"INTU" 0 5 7 3 7 4 6 2 3 6 6 7 4 3 4 4 4 4
"INVS" 350 463 437 197 186 204 385 289 415 390 432 424 512 699 533 470 446 394
"IP6K1" 14 15 15 13 14 16 5 7 6 2 6 5 13 18 13 2 9 7
"IP6K2" 0 1 2 8 5 4 1 0 1 0 0 0 0 0 0 0 0 0
"IP6K3" 1 0 1 4 3 1 0 0 2 0 0 0 0 0 0 0 0 1
"IPCEF1" 1 0 3 4 1 1 0 0 0 0 0 0 0 1 0 2 2 2
"IPMK" 2 2 2 0 4 0 0 2 0 0 1 2 0 1 0 0 0 1
"IPO11" 0 2 1 2 2 1 0 3 1 2 3 0 3 1 0 0 1 2
"IPO13" 20 25 11 32 30 43 11 10 12 10 13 10 9 8 12 40 25 27
"IPO4" 67 130 124 53 46 33 20 15 30 23 24 32 202 236 269 221 192 256
"IPO5" 7 19 10 9 8 8 4 1 8 2 4 8 12 8 4 17 6 14
"IPO7" 27 61 40 54 86 72 32 33 24 22 21 27 33 43 54 52 50 66
"IPO8" 13 19 14 5 15 15 9 14 7 6 8 9 11 17 18 16 14 13
"IPO9" 1 7 5 5 5 1 3 2 0 1 1 1 4 3 3 6 1 9
"IPP" 4 6 9 21 24 27 11 2 3 4 7 3 5 4 9 3 4 6
"IPPK" 175 180 208 109 107 95 209 187 190 155 176 187 160 138 199 155 143 139
"IQCA1" 2 9 3 5 0 3 5 1 5 1 2 3 2 1 3 6 0 1
"IQCB1" 0 0 3 6 6 7 0 1 1 0 0 0 0 0 0 0 1 3
"IQCC" 0 0 0 0 1 1 0 1 0 0 0 2 1 0 3 1 5 1
"IQCD" 2 1 4 3 0 3 1 1 0 0 0 0 2 2 1 1 3 1
"IQCE" 6 18 9 7 5 5 11 8 6 9 8 10 11 15 18 10 8 8
"IQCF6" 0 0 3 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"IQCG" 7709 6626 6951 4001 3629 3613 2878 4372 3073 2172 2551 2806 2548 2436 4297 3827 3727 4685
"IQCH" 20 46 28 12 12 12 32 10 17 18 25 28 44 43 31 18 27 12
"IQCK" 11 7 8 6 1 2 2 0 3 1 0 0 1 1 4 2 0 2
"IQCM" 1 2 0 0 4 0 0 0 1 0 0 0 0 0 0 1 0 4
"IQGAP2" 7 13 16 12 9 10 14 21 21 17 14 19 13 4 11 13 12 14
"IQGAP3" 21 29 30 16 21 15 32 31 18 25 27 33 61 53 37 26 29 29
"IQSEC1" 2 6 9 8 16 11 6 1 5 3 7 6 9 8 8 8 8 3
"IQSEC3" 0 0 4 2 5 4 0 2 2 0 1 1 0 1 2 0 1 0
"IQUB" 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 1 1 0
"IRAG1" 20 31 16 29 32 17 3 1 3 1 2 0 8 3 5 5 9 15
"IRAG2" 1 5 7 3 3 4 7 13 4 3 4 3 0 6 6 1 4 1
"IRAK1BP1" 3 2 3 2 3 3 0 2 2 1 1 1 1 2 2 0 1 2
"IRAK2" 35 59 38 5 9 13 35 58 33 17 29 47 30 18 16 6 13 14
"IRAK4" 2 5 3 6 5 3 4 8 2 6 7 3 8 5 7 7 3 14
"IREB2" 1 3 4 5 3 2 2 4 0 2 4 2 1 4 5 0 2 2
"IRF1" 12 12 10 18 28 32 20 12 20 25 14 17 10 9 11 0 3 6
"IRF2" 131 212 151 146 164 228 78 59 71 75 82 100 147 175 165 135 142 160
"IRF2BP2" 60 50 65 107 127 163 47 33 60 40 56 83 53 56 37 39 58 100
"IRF4" 0 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0
"IRF5" 5 14 14 14 10 7 28 26 37 35 30 37 1 5 9 5 3 7
"IRF6" 0 0 0 3 0 1 0 0 1 0 0 4 2 0 3 2 1 0
"IRF7" 26 23 32 28 55 30 24 18 37 17 29 38 24 17 17 8 20 17
"IRF8" 0 3 1 18 18 25 0 0 3 2 3 4 0 0 0 3 3 1
"IRF9" 1 4 5 42 33 49 3 2 5 2 6 3 3 6 4 1 5 7
"IRS2" 0 1 1 3 3 0 0 0 1 0 0 1 0 0 0 0 0 1
"IRS4" 6 2 3 7 4 9 0 1 4 2 6 10 3 4 3 1 0 6
"IRX1" 0 2 6 2 0 2 2 3 2 1 0 0 2 1 1 2 1 1
"IRX2" 2 5 1 4 2 2 0 2 2 2 0 1 5 1 2 0 0 1
"IRX3" 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"IRX4" 0 0 4 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"IRX5" 41 64 62 36 53 60 61 52 69 38 63 69 63 56 62 84 83 128
"IRX6" 2 2 9 1 2 1 19 16 16 17 13 21 5 4 10 12 7 8
"ISCA1" 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0
"ISCA2" 0 1 5 1 2 4 2 0 1 0 0 0 0 0 0 0 5 1
"ISCU" 5 6 5 5 8 3 1 1 3 3 3 4 2 4 6 9 3 5
"ISG20L2" 5 0 8 11 15 5 5 1 6 0 7 4 2 7 4 5 14 10
"ISL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ISL2" 34 72 64 54 77 109 65 73 82 74 88 92 56 66 85 39 56 50
"ISLR" 0 2 7 2 1 7 0 0 0 0 0 0 0 0 0 0 0 0
"ISLR2" 1 1 0 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"ISM1" 54 66 61 20 27 17 16 13 19 13 22 20 32 36 54 31 25 50
"ISM2" 3 3 6 12 10 11 2 3 5 6 6 1 2 3 3 5 13 10
"ISOC1" 0 0 1 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ISPD" 6 6 5 9 9 6 2 5 0 6 4 5 2 1 2 4 3 3
"IST1" 4 10 9 9 6 7 1 4 1 4 1 3 1 3 3 2 1 4
"ISX" 0 0 3 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0
"ISY1" 2 0 0 4 1 2 0 0 1 1 0 0 2 0 2 2 0 3
"ISYNA1" 11 23 20 13 21 14 24 14 12 19 19 12 22 22 19 18 13 21
"ITCH" 0 1 1 4 9 4 2 2 3 2 3 5 4 5 5 2 1 3
"ITFG1" 8 9 14 18 30 21 5 1 2 4 3 1 3 2 4 6 9 4
"ITFG2" 11 45 21 13 12 19 35 41 58 30 36 37 15 13 15 8 10 14
"ITGA1" 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 1 0 1
"ITGA11" 114 138 113 45 64 61 106 61 108 91 111 95 172 206 133 71 70 67
"ITGA2" 6 17 6 10 7 17 17 16 19 15 16 12 7 5 10 7 5 6
"ITGA2B" 1 1 3 1 4 3 0 0 0 0 0 0 0 0 1 0 0 0
